TACC3	AURKA	CKAP5	Aurora_A/chTOG/TACC3_(complex)
Spectrin_heterodimer_(complex)	PTPRA	NCAM/pFyn-Y420_(complex)	NCAM1_complexed_with_pFyn-Y420_(complex)
PABPC1	Cap_Binding_Complex_(CBC)_(complex)	EIF4G1	mRNA_Complex_with_a_Premature_Termination_Codon_Preceding_an_Exon_Junction_(complex)
COPS2	HDAC1	NCOR1	HDAC/NCOR1/ALIEN_(complex)
E2F4	TFDP2	KAT2A	E2F4/DP2/GCN5_(complex)
GRB2	PTK2	SOS1	pFAK/Grb2/Sos_(complex)
PIAS2	STAT4_(dimer)_(complex)	STAT4	STAT4_(dimer)/PIASxBeta_(complex)
PPP1R15A	ZFYVE16	PPP1CA	GADD34/PP1CA_(complex)
CXCL9-11_(family)	PF4	CXCR3-2	CXCL4/CXCR3-B_(complex)
Gi_family_(family)	Gi_family/GDP/G_beta/gamma_(complex)	Gi_family/GNB1/GNG2/GDP_(complex)	Gi_family/GTP_(complex)
TP_beta/GNAI2/GDP/G_beta/gamma_(complex)	TP_beta/Gq_family/GDP/G_beta5/gamma2_(complex)	O75228	TXA2/TP_beta_(complex)
U4_snRNA_(rna)	NHP2L1	PRPF4	U4_snRNP_(complex)
MLLT4	RAP1/GTP_(complex)	RAP1_(family)	RAP1/GTP/I-afadin_(complex)
PRLR_ligands/p(S349)-PRLR/JAK2_dimer_(complex)	beta-TrCP/Skp1/Cul1/Rbx1_(complex)	p(S349)-PRLR/JAK2_dimer_(complex)	PRLR_ligands/p(S349)-_PRLR/JAK2_dimer/SCF_beta-TrCP_complex_(complex)
P03428	P03433	P03431	Viral_RNA_dependent_RNA_polymerase_(complex)
NF-kappa-B/RelA/I_kappa_B_alpha_(complex)	NFKB1	RELA	NF-kappa-B/RelA_(complex)
ESR1	NCOA7	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/ERAP140_(complex)
RAP1A/GTP_(complex)	RASSF5	RAP1A	RAP1A/GTP/RAPL_(complex)
MRE11A	NBN	RAD50	MRN_complex_(complex)
PDE6B	PDE6A	PDE6G	GMP-PDE_(complex)
hTR_RNA_(rna)	TERT	PTEN	TERT(+1)/TEP1/hTR_RNA_(complex)
HUS1	RAD9A	RAD1	RAD9/RAD1/HUS1_(complex)
p107-p130_(family)	E2F4	TFDP2	E2F4/DP2/p107-p130_(complex)
IL1B	IL1R1	IL1RAP	IL1_beta_fragment/IL1R1/IL1RAP_(complex)
SEC61_alpha_(family)	SEC61B	SEC61G	Translocon_(complex)
Cyclin_D_(family)	phospho-CDK4/6_(family)	p21/p27_(family)	Cyclin_D/phospho-CDK4/6/p21/p27_(complex)
IRAK1	MYD88	TLR7	Imiquimod/TLR7/TLR7/MYD88/IRAK_(complex)
CALM1	TBC1D4	Ca2+/CaM_(complex)	AS160/CaM/Ca2+_(complex)
NLK	SETDB1	CHD7	Nemo_like_kinase/SETDB1/CHD7_(complex)
cortisol/GR_alpha_(dimer)_(complex)	NR3C1	NCOA1	cortisol/GR_alpha_(dimer)/Src-1_(complex)
FGFR3-FGF_complex_(family)	PTK2B	PTPN11	FGFR3-FGF_complex/Pyk2_(complex)
STAT4_(dimer)_(complex)	STAT4	JUN	STAT4_(dimer)/JUN_(complex)
CDC42/GDP_(complex)	WAS	CDC42	CDC42/GTP/WASP_(complex)
MAF	NFAT1-c-4_(family)	IRF4	NFAT1-c-4/MAF/IRF4_(complex)
CaM/Ca_++_(complex)	CaM_(family)	CAMK4	CamKIV/CaM/Ca_++_(complex)
Atypical_PKCs_(family)	PARD6A	F2RL2	Par3/Par6/Atypical_PKCs_(complex)
PHB2	ESR1	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/REA_(complex)
EPS15	STAM_(family)	HGS	Eps15/HGS/STAM_(complex)
C1QC	C1QB	C1QA	C1q_(complex)
TC10/GTP_(complex)	TRIP10	RHOQ	TC10/GTP/CIP4_(complex)
BMP_type_II_receptor_dimer_(complex)	Phospho-BMP_type_I_receptor_dimer_(complex)	Dimeric_BMP2_(complex)	Dimeric_BMP2/BMP_type_II_receptor/Phospho-BMP_type_I_receptor_complex_(complex)
EGFR/EGFR/EGF/EGF/GRB2/CBL_(complex)	GRB2	CBL	GRB2/CBL_(complex)
TICAM1	TLR3_(dimer)_(complex)	TLR3	TLR3_(dimer)/TRIF_(complex)
CHUK	IKBKB	IKBKG	IKK2/IKK3/IKK1_(complex)
SOCS-1_and_SOCS-3_(family)	TYK2	IFNAR1	p-IFNAR1/p-TYK2/SOCS-1/SOCS-3_(complex)
DLL1	NOTCH	NOTCH/NOTCH_(complex)	DELTA/NOTCH/NOTCH_(complex)
MASP1	MASP2	MBL2	MBL/MASP-1/MASP-2/carbohydrate_(complex)
HES1	HES1/TLE1/PARP1_(complex)	PARP1	HES1/PARP1_(complex)
C8A	C8B	C8G	C8_(complex)
PELP1	Estrogen/ER_alpha_(complex)	ESR1	Estrogen/ER_alpha/PELP1_(complex)
TP53	HIF1A	COPS5	HIF1A/JAB1_(complex)
EP300	PPARGC1A	RORA	ROR-alpha/Coactivator_(complex)
TBP	BRF1	BDP1	TFIIIB-Type_1_and_2_Promoter_Selective_Complex_(complex)
CaMKK_(family)	CaM/Ca_++_(complex)	CaM_(family)	CaMKK/CaM/Ca_++_(complex)
AR	T-DHT_(family)	CASP8	T-DHT/AR/Caspase_8_(complex)
PML	ZFYVE9	SMAD2-3_(family)	PML/SARA/SMAD2-3_(complex)
RHOA/GTP_(complex)	RHOA	ROCK1	RhoA/GTP/ROCK1_(complex)
SMAD4	SMAD2	TRAP-1/SMAD4_(complex)	SMAD2/SMAD2/SMAD4_(complex)
RIPK1	MAVS	FADD/procaspase-8/10_(complex)	IPS-1/RIP-1/FADD/procaspase-8/10_(complex)
RANBP1	RANGAP1	RANBP2	RanGAP/RanBP1/RanBP2_(complex)
PCNA	ESR1	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/PCNA_(complex)
PARVB	LIMS1	ILK	ILK/PINCH1/beta_parvin_(complex)
LAMB1	LAMC1	LAMA4	Laminin_8_(complex)
B2M	peptide	P04439	peptide-MHC_class_I_(complex)
Activin_receptor_type_IIA/IIB_(family)	ACTIVIN_(family)	ACVR1B	Activin/ACVR2A/B/ACVR1B_(complex)
IRF8	ZBTB17	MYC/Max_(complex)	MIZ-1/IRF8_(complex)
NGF	NGF_(dimer)_(complex)	NGFR	NGF_(dimer)/p75(NTR)_(complex)
MLLT4	PVRL3	nectin-3/I-afadin_(complex)	nectin-3(dimer)/I-afadin/I-afadin_(complex)
CTNNB1	N-cadherin/Ca2+/beta_catenin/alpha_catenin/p120_catenin_(complex)	CTNNA1	beta_catenin/alpha_catenin_(complex)
Ephrin_A5/EPHA3_(complex)	EFNA5	EPHA3	Ephrin_A5/EPHA3_(complex)
SSRP1	TP63-5	TAp63g_(tetramer)_(complex)	TAp63g_(tetramer)/SSRP1_(complex)
C3G_(family)	Activated_TrkA_receptor_complex_(complex)	Phospho-ARMS/Crk_(complex)	Active_TrkA_receptor/Phospho-ARMS/Crk/C3G_complex_(complex)
NCOA1	AR	T-DHT_(family)	T-DHT/AR/Src-1_(complex)
TFDP1	E2F2	RB1	E2F2/RB1/TFDP1_(complex)
NUP214	RAN	XPO1	Exportin_1/Ran/NUP214_(complex)
F2RL2	PRKCZ	PARD6A	PKC_zeta/Par3/Par6_(complex)
BRF2	TBP	BDP1	TFIIIB-Type_3_Promoter_Selective_Complex_(complex)
WNT3A	FZD1	LRP6	WNT3A/FZD1/LRP6_(complex)
EIF4E	EIF4G1	eIF4A_subunits_complex_(complex)	cap-binding_complex_(complex)
GNB2L1	SDC2	RASA1	Syndecan-2/RACK1_(complex)
DNA_(rna)	PPAR/PGJ2_(complex)	RXRs_(family)	RXRs/PPAR/9cRA/PGJ2/DNA_(complex)
CACNA2D2	CACNA1E	Beta_Subunit_of_Voltage-dependent_Calcium_Channel_(pancreatic_beta_cell)_(family)	Voltage-gated_Calcium_Channel_R-type_2.3_(complex)
PRKCI	PARD3	PAR-6_(family)	Par3/Par6/aPKC_complex_(complex)
LAMC3	LAMB2	LAMA5	Laminin-5_(complex)
PTPN1	GRB2	p210_bcr-abl	p210_bcr-abl/Grb2_(complex)
GNG2	GNB1	Gq_family_(family)	Gq_family/GDP/Gbeta_gamma_(complex)
PAK_family_(family)	RAC1-CDC42/GTP_(complex)	RAC1-CDC42_(family)	RAC1-CDC42/GTP/PAK_family_(complex)
STAT3_(family)	STAT3	STAT1	STAT1/STAT3_(complex)
UNC5B	NTN1	DCC	netrin_1/DCC/UNC5B_(complex)
ERBB2	ERBB3	NRG2	ErbB2/ErbB3/neuregulin_2_(complex)
CPSF3	CPSF2	CPSF1	Cleavage_and_polyadenylation_specificity_factor_(complex)
ERBB2	NRG1-6	ERBB4	ErbB4/ErbB2/neuregulin_1_beta_(complex)
LAMB1	LAMA1	LAMC1	Laminin_1_(complex)
PRKAG2	PRKAB2	PRKAA2	AMPK_heterotrimer_(active)_(complex)
TP53	UBE2A	ubiquitin_(family)	ubiquitin/p53/E2_(complex)
IRF9	STAT2/1_hetero_dimer_(complex)	p-STAT2/p-STAT1_(complex)	p-STAT2/p-STAT1/IRF9_(complex)
FGFR1-FGF_complex_(family)	SRC	CTTN	FGFR1-FGF_complex/Src/Cortactin_(complex)
TADA2B	TAF9	KAT2A	GCN5-L/ADA2B/TAF9_(complex)
GNB1	G12/G13-alpha_(family)	GNGT1	G12/G13-alpha/G-beta/G-gamma_(complex)
CTNNB1	VE-cadherin/beta_catenin/alpha_catenin_(complex)	CTNNA1	beta_catenin/NO/alpha_catenin_(complex)
HSP90AA1	AIP	AhR/HSP90/HSP90/TCDD_(complex)	HSP90/HSP90/XAP2_(complex)
FGG	FGA	FGB	fibrinogen_(complex)
CACNA2D2	CACNA1A	Beta_Subunit_of_Voltage-dependent_Calcium_Channel_(pancreatic_beta_cell)_(family)	Voltage-gated_Calcium_Channel_P/Q-type_2.1_(complex)
PML	TAp73a_(tetramer)_(complex)	TP73	TAp73a_(tetramer)/PML_(complex)
HUS1	RAD1	RAD9_(family)	Rad9-Hus1-Rad1_complex_(complex)
SMAD4	SP1-3_(family)	SMAD3	SMAD3/SMAD4/SP1-3_(complex)
SYCP2	Meiotic_Cohesin_Complex_(complex)	SYCP3	Axial/Lateral_Element_of_Synaptonemal_Complex_(complex)
VLDLR	LRP8	RELN	RELN/VLDLR_(complex)
POLR3F	RPC7/RPC7-like_(family)	POLR3C	HsRPC6/HsRPC3/HsRPC7_(complex)
branched-chain_alpha-ketoacid_dehydrogenase_E1_complex_(complex)	alpha-keto_acid_dehydrogenase_E3_homodimer_(complex)	DBT	branched-chain_alpha-ketoacid_dehydrogenase_complex_(complex)
EP300	JUNB_(dimer)_(complex)	JUNB	JUNB_(dimer)/p300_(complex)
STAT3	FOXO1	STAT3_(dimer_)_(complex)	STAT3_(dimer)/FOXO1_(complex)
NEDD8	UBE2M	UBA3	NEDD8/UBC12/UBA3_(complex)
TSC2	14-3-3_family_(family)	TSC1	TSC1/TSC2/14-3-3_family_(complex)
P01343	IGF1R	YWHAH	IGF-1/IGF-1/IGF-1R-alpha/IGF-1R-alpha/IGF-1R-beta/IGF-1R-beta/14-3-3_(complex)
CEBPB	Cbp/p300_(family)	PTGES2	CEBPB/PTGES2/Cbp/p300_(complex)
CaM/Ca_++_(complex)	CaM_(family)	CaMKI_(family)	CaMKI/CaM/Ca_++_(complex)
CD40L_(trimer)_(complex)	CD40LG	CD40	CD40/CD40L_(trimer)_(complex)
MLLT4	PVRL2	nectin-2(dimer)/I-afadin/I-afadin_(complex)	nectin-2(dimer)/I-afadin/I-afadin/nectin-2(dimer)/I-afadin/I-afadin_(complex)
TXA2/TP_beta_(complex)	O75228	ARR3	TXA2/TP_beta/beta_Arrestin3_(complex)
HIF3A	HIF1A	ARNT	HIF1A/ARNT_(complex)
CD79B	BCR	CD79A	BCR_complex_(complex)
IRAK1	MYD88	TLR9	CpG_DNA/TLR9/TLR9/MYD88/IRAK_(complex)
FGG	FGA	FGB	fibrin_monomer_(complex)
VAV1	SOCS1	GRB2	GRB2/SOCS1/VAV1_(complex)
PXN	CRK	BCAR1	Crk/p130_Cas/Paxillin_(complex)
BDNF_(dimer)_(complex)	BDNF	NTRK2	BDNF_(dimer)/TRKB_(complex)
MASP-1_dimer_(complex)	MBL-II_tetramer_(complex)	MASP-2_dimer_(complex)	MBL-II/MASP-2_dimer/MASP-1_dimer_complex_(complex)
E2F4	TFDP2	TRRAP	E2F4/DP2/TRRAP_(complex)
ARF1	GGA3	ARF1/GTP_(complex)	ARF1/GTP/GGA3_(complex)
AP2M1	Clathrin_(complex)	gap_junction_plaque_(complex)	planar_gap_junction_plaques_(complex)
G-protein_gamma_subunit_(family)	G-protein_beta_subunit_(family)	G-protein_alpha_(i/o/z/t)_subunit_(family)	Heterotrimeric_G-protein_(complex)
SREBP1A/1C_(family)	SP1	NF-Y_(complex)	SREBP1/NF-Y/SP1/DNA_(complex)
IL10RA	IL10RB	JAK1	IL-10R/JAK1_(complex)
DPYSL2	Adaptor_protein_complex_2_(AP-2)_large_adaptins_(family)	NUMB	CRMP-2/NUMB/alpha_adaptin_(complex)
EGFR	EGF	CBL	EGF/Phospho-EGFR_(Y1045)_dimer/CBL_(complex)
IQGAP1/CaM_(complex)	PAFAH1B1	CALM1	Ca2+/CaM_(complex)
Activin_receptor_type_IIA/IIB_(family)	CRIPTO_and_CRYPTIC_(family)	ACVR1B	ACVR1B/ACVR2/EGF-CFC_(complex)
SMAD4	ATF3	SMAD3	SMAD3/SMAD4/ATF3_(complex)
MLLT4	nectin-3(dimer)/I-afadin/I-afadin_(complex)	PVRL3	nectin-3(dimer)/I-afadin/I-afadin/nectin-3(dimer)/I-afadin/I-afadin_(complex)
Ran/GTP_(complex)	Ran-GTP_(complex)	XPO5	Ran/GTP/Exportin-5_(complex)
CASC3	Magoh-Y14_complex_(complex)	EIF4A3	Core_Exon_Junction_Complex_(Core_EJC)_(complex)
GNB2L1	AR	SRC	AR/RACK1/Src_(complex)
ACVR2B	CRIPTO_and_CRYPTIC_(family)	ACVR1C	PhosphoALK7/ActRIIB/EGF-CFC_Complex_(complex)
KIF3A_partners_(family)	KIFAP3	KIF3A	Kinesin-2_(complex)
P63213	G-protein_alpha_(q)/GDP_(complex)	P62874	Heterotrimeric_G-protein_G_alphaq/beta1/gamma2_(inactive)_(complex)
Src_Family_Kinases_(family)	Syk_Family_Kinases_(family)	BLNK-LAT_(family)	Src_family/SYK_family/BLNK-LAT_(complex)
NT-4/5_(dimer)_(complex)	NTF4	NTRK2	NT-4/5_(dimer)/TRKB_(complex)
PSMA3	Chromosomal_passenger_complex/Cul3_protein_complex_(complex)	AURKB	Aurora_B/HC8_Proteasome_(complex)
POU4F1	ESR1	E2/ERA_(dimer)_(complex)	E2/ERA_(dimer)/POU4F1_(complex)
GSK3_(family)	Axin1/APC/GSK3/beta_catenin_(complex)	AXIN1	Axin1/GSK3_(complex)
IFNAR2	IFNAR1	Type_I_IFN_family_(family)	Interferon_receptor/Type_I_IFN_(complex)
Q8N726	TP63-5	TAp63g_(tetramer)_(complex)	TAp63g_(tetramer)/p14ARF_(complex)
STK11	STRADA-STRADB_(family)	CAB39	LKB1/MO25/STRADA-STRADB_(complex)
PTK2	BCAR1	PXN	FAK/p130_Cas/Paxillin_(complex)
GNB1	GNAQ	GNGT1	G-alpha-q/G-gamma/G-beta_(complex)
Gycosylated_NA_Tetramer_(complex)	Fusion_Competent_Cleaved_Trimeric_palmitylated_HA_(complex)	palmitylated_M2_Tetramer_(complex)	Influenza_A_Viral_Envelope_with_a_fusion_competent_HA2_(complex)
P55269	Calcineurin_A_alpha-beta_B1_(family)	BCL2	BCL2/BAX_(complex)
STUB1	HSP70-1	SNCA	Alpha-Synuclein/HSP70-1/CHIP_(complex)
Integrase_(family)	linear_duplex_viral_DNA_(complex)	Ku70/Ku80_heterodimer_(complex)	Ku_proteins_bound_to_viral_DNA_(complex)
L1CAM	SH3GL2	Clathrin-coated_vesicle_(complex)	L1/AP-2_Clathrin_complex_(complex)
ARHGEF7	GIT1	PAK1	GIT1/betaPIX/PAK1_(complex)
EGFR	EGF	EGF/EGFR_(complex)	EGF/EGFR_dimer_(complex)
DP1/2_(family)	E2F4	RBL1	p107/E2F4/DP1/2_(complex)
p-STAT2/p-IFNAR1/p-TYK2_(complex)	IFN_alpha/beta_(IFNA/B)_(family)	IFNAR2/p-JAK1/STAT2_(complex)	IFNA/B/IFNAR2/p-JAK1/STAT2/p-IFNAR1/p-TYK2/p-STAT2_(complex)
alpha_tubulin_(family)	alpha_tubulin/beta_tubulin_(complex)	TUBB1	alpha_tubulin/beta_tubulin/alpha_tubulin/beta_tubulin/alpha_tubulin/beta_tubulin/alpha_tubulin/beta_tubulin_(complex)
PP2A_B_beta_(family)	PP2A-catalytic_subunit_C_(family)	PP2A-subunit_A_(family)	Serine/threonine-protein_phosphatase_2A_complex_with__regulatory_subunit_PPP2R3B_(complex)
IL2RB	LCK	JAK1	IL2R_beta/JAK1/LCK_(complex)
CDC42/GTP_(complex)	DOCK11	CDC42	CDC42/GTP/DOCK11_(complex)
ITGB5	uPA/uPAR/alphav/beta5_Integrin/PAI-1_(complex)	ITGAV	alphav/beta5_Integrin_(complex)
TIMELESS	ATR	CHEK1	TIMELESS/CHEK1/ATR_(complex)
F_Xa	F_VIIa	F3	F_Xa/TF/F_VIIa_(complex)
Sec23p/Sec24p_Complex_(complex)	SAR1B	Sec13p/Sec31p_Complex_(complex)	Sar1b/Sec23p/Sec24p/Sec13p/Sec31p_Complex_(complex)
TYK2	IFNAR1	STAT2	STAT2/p-IFNAR1/p-TYK2_(complex)
TRAF6_homotrimer_(complex)	mature_NGF_homodimer/p75NTR_(complex)	NRIF_(family)	NGF_ligand/p75NTR/NRIF/TRAF6_(complex)
Troponin_C/Calcium_Complex_(complex)	Troponin_I_(family)	Troponin_T_(family)	Calcium/Troponin_Complex_(complex)
NFKB1	RELA	Cbp/p300_(family)	NF_kappa_B1_p50/RelA/Cbp_(complex)
LAMB1	LAMA2	LAMC1	Laminin_2_(complex)
VPS36	SNF8	VPS25	ESCRT-II_(complex)
ITGB1	ITGB4	ITGA6	alpha6/beta1_Integrin_(complex)
TYK2	LMO4	IL6ST	gp130_(dimer)/TYK2/TYK2/LMO4_(complex)
LAMB1	LAMC1	LAMA5	Laminin_10_(complex)
ESR2	E2/ERB_(dimer)_(complex)	DDX54	E2/ERB_(dimer)/DP97_(complex)
CDC42/GTP_(complex)	IQGAP1	CDC42	CDC42/GTP/IQGAP1_(complex)
LPA_R_(family)	GNA12	LPA	LPA/LPA_R/G12-alpha_(complex)
CHUK	IKBKB	IKBKG	Activated_IKK_Complex_(complex)
NTP_(family)	RNA_Polymerase_II_(unphosphorylated)/TFIIF_complex_(complex)	TFIIH_(complex)	RNA_Polymearse_II/NTP/TFIIF_complex_(complex)
F2RL2	PRKCE	PARD6A	PKC_epsilon/Par3/Par6_(complex)
ERBB2	NRG4	ERBB4	ErbB4/ErbB2/neuregulin_4_(complex)
BTRC	CUL1	SKP1	SCF_(complex)
PTPN11	GRB2	SOS1	SHP-2/GRB2/SOS-1_(complex)
NFKB1	RELA	NFKBIA	NF-kappa-B/RelA/I_kappa_B_alpha_(complex)
GP5	platelet_glycoprotein_Ib_heterodimer_(complex)	GP9	platelet_glycoprotein_Ib-IX-V_complex_(complex)
CXCL12	CXCR4_(dimer)_(complex)	CXCR4	SDF1/CXCR4_(dimer)_(complex)
NF_kappa_B	RELA	NFKBIA	NF_kappa_B/RelA/I_kappa_B_alpha_(complex)
TAB1	TAB2/3_(family)	MAP3K7	TAK1/TAB1/TAB2/3_(complex)
NOTCH2	DSL_ligands_(family)	NOTCH2_heterodimer_(complex)	NOTCH2_heterodimer/DSL_(complex)
TAB2	TAB1	MAP3K7	Tak1/TAB1/TAB2_(complex)
NDUFV3	NDUFV2	Complex_I_-_51_kDa_subunit-FMN-4Fe-4S_cluster_complex_(complex)	FlavoProtein_fraction_(complex)
EPOR	EPO	EPO/EPO_R_(complex)	EPO/EPO_R/EPO_R_(complex)
LMO4	JAK2	IL6ST	gp130_(dimer)/JAK2/JAK2/LMO4_(complex)
p-STAT2/STAT1_(complex)	IFNAR1	TYK2	p-STAT2/STAT1/p-IFNAR1/p-TYK2_(complex)
FZD1	WNT7B	LRP5	WNT7B/FZD1/LRP5_(complex)
GRB2	Activated_FGFR/p-FRS2-alpha/p-SHP2_(complex)	GAB1	GRB2_and_GAB1_bound_to_activated_FGFR_and_FRS2-alpha_(complex)
Fyn/pCdk5_(complex)	pCRMPs_tetramers_(S522S518T509T514)_(complex)	Plexin-A_(1-4)_(family)	PlexinA/Fyn/Cdk5/pCRMPs_(S522S518T509T514)_(complex)
TLR2	HSPD1	TLR1	HSP60/TLR2/TLR1_(complex)
PTPN1	GRB2	p210_bcr-abl	p210_bcr-abl/PTP1B_(complex)
C17orf71	SMG1	C19orf61	SMG1/SMG8/SMG9_Complex_(complex)
alpha_tubulin/beta_tubulin/alpha_tubulin/beta_tubulin/alpha_tubulin/beta_tubulin/alpha_tubulin/beta_tubulin_(complex)	alpha_tubulin_(family)	TUBB1	alpha_tubulin/beta_tubulin_(complex)
EFNB1	Src_Family_Kinases_(family)	EPHB1-2_(family)	Ephrin_B1/EPHB1-2/Src_Family_Kinases_(complex)
SP1	p53_(tetramer)_(complex)	TP53	p53_(tetramer)/SP1_(complex)
SKP1	BTRC	CUL1	SCF-beta-TrCP1_complex_(complex)
CSTF1	CSTF3	CSTF2	Cleavage_Stimulation_Factor_(complex)
JAK1	STAT2	IFNAR2-2	IFNAR2/JAK1/STAT2_(complex)
BAIAP2	CDC42/GTP_(complex)	CDC42	CDC42/GTP/IRSP53_(complex)
CDH1	CTNNB1	CTNNA1	E-cadherin/Ca2+/beta_catenin/alpha_catenin_(complex)
Heterotrimeric_G-protein_Gq/11_(inactive)_(complex)	Heterotrimeric_G-protein_G_alphaq/beta1/gamma2_(inactive)_(complex)	ADP/P2Y_purinoceptor_1_(complex)	ADP/P2Y_purinoceptor_1/G-protein_Gq_(inactive)_(complex)
NFKB1	RELA	ubiquitin_(family)	p105/RELA/ubiquitin_(complex)
SRC	VEGFA	KDR	VEGFR2_homodimer/VEGFA_homodimer/Src_(complex)
GNAT3	GNB3	GNG13	Gustducin_Complex_(alpha_beta_gamma_subunits)_(complex)
STAT1_(dimer)_(complex)	STAT1	Cbp/p300_(family)	STAT1_(dimer)/Cbp/p300_(complex)
Edited_GRIK1_homomer_(complex)	Edited_GRIK2_homomer_(complex)	Edited_GRIK1_and_GRIK2_heteroteramer_(complex)	Edited_Kainate_receptors_(complex)
CBL/GRB2_(complex)	EGFR	EGF	EGF/Phospho-EGFR_(Y1045)_dimer/CBL/GRB2_(complex)
NOTCH3_heterodimer_(complex)	DSL_ligands_(family)	NOTCH3	NOTCH3_heterodimer/DSL_(complex)
VEGFR1_homodimer_(complex)	NRP2	FLT1	VEGFR1_homodimer/NRP2_(complex)
Integrin_alpha_6/beta_4/Plectin_complex_(complex)	laminin-5_complex_(complex)	COL17A1	Integrin_alpha_6/beta_4/Plectin/BP180/Laminin-322_complex_(complex)
BCL2L1	BCL2	BAK1	BCL-XL/BCL-2/BAK_(complex)
STK11	STRADA	MO25_(family)	LKB1/STRAD/MO25_(complex)
spectrin_based_actin_(complex)	Neurofascin/NrCAM_complex_(complex)	Ankyrins_(family)	Neurofascin/NrCAM/Ankyrin/spectrin_based_actin_(complex)
Activin_receptor_type_IIA/IIB_(family)	CRIPTO_and_CRYPTIC_(family)	ACVR1B	PhosphoALK4/ActRII/EGF-CFC_Complex_(complex)
DOK1	NCK1	RASA1	p62DOK/RasGAP_(complex)
FGF19	FGFR4	KLB	FGF19_bound_to_BetaKlotho_and_FGFR4_(complex)
ARHGEF7	PLCG1	GIT1	PLCgamma1/betaPIX/GIT1_(complex)
GNB1	GNG2	GNA12	G12/GDP/G_beta/gamma_(complex)
SHH	SHH_Np/Cholesterol_(complex)	HHIP	SHH_Np/Cholesterol/Hhip_(complex)
